name,denomination,address
Elisa Riebeling Ministries Inc,Christian / General,"PO BOX 681252, SAN ANTONIO, TX 78268-1252"
Goulet Ministries Inc,Christian / General,"2902 AXIS VIEW, BOERNE, TX 78006-0000"
Soul Harvest Church,,"102 WOLEY DR, SAN ANTONIO, TX 78228-5931"
Radiance Ministries,Christian / General,"822 LONE WOLF TRL, SAN ANTONIO, TX 78232-2756"
Calvary Chapel Solid Rock,,"8235 AGORA PKWY STE 111-564, SELMA, TX 78154-1334"
Shiloah Covenant Church,,"PO BOX 18481, SAN ANTONIO, TX 78218-0481"
Church On The Rise,,"3908 HABERSHAM, SCHERTZ, TX 78154-2925"
Cedar Gap Family Church,,"13903 DOVE HOLLOW DR, SAN ANTONIO, TX 78232-5402"
Cufi Church Association,,"18410 SONTERRA PL STE 100, SAN ANTONIO, TX 78258-4785"
Church Of Christ At New Braunfels,Church of Christ,"PO BOX 310064, NEW BRAUNFELS, TX 78131-0064"
Renew Ministries,Christian / General,"2240 FM 725, NEW BRAUNFELS, TX 78130-9506"
Nineteen Ten Church,,"130 FM 1376, BOERNE, TX 78006-5917"
Greater Love Ministries Inc,Christian / General,"1534 PECK AVE, SAN ANTONIO, TX 78210-3322"
International Association Ofevangelical Chaplains Inc,Protestant / Evangelical,"8831 PINERIDGE RD, SAN ANTONIO, TX 78217-5831"
New Life Presbyterian Church,Presbyterian,"6311 KINGS CROWN ST, SAN ANTONIO, TX 78233-4714"
Uganda Tree Of Life Ministries Inc,Christian / General,"PO BOX 132, BOERNE, TX 78006-0132"
Chapter Three Ministries,Christian / General,"PO BOX 690152, SAN ANTONIO, TX 78269-0152"
Bethany Romanian Pentecostal Church,Pentecostal,"26347 BOERNE STAGE RD, BOERNE, TX 78006-8435"
Pastor Assist Ministries Inc,Christian / General,"24165 IH-10 W STE 217-631, SAN ANTONIO, TX 78257-1160"
Prince Of Peace Community Church,,"13012 OAK TERRACE DR, LIVE OAK, TX 78233-2454"
Breakthrough Sa Church Inc,,"12403 NACOGDOCHES ROAD, SAN ANTONIO, TX 78217-2141"
Northwest Calvary Chapel,,"9107 MARBACH RD STE 225, SAN ANTONIO, TX 78245-1833"
Iglesia Pacto De Amor,,"810 TOEPPERWEIN RD, CONVERSE, TX 78109-2306"
Rock Hills Church,,"807 ARTISAN WAY, SAN ANTONIO, TX 78260-4377"
Genesis Hotwells Bible Baptist Church,Baptist,"301HOTWELLSBIVD, SAN ANTONIO, TX 78223-0000"
Louis Vivenzio Ministry,Christian / General,"18615 REDROCK WOODS, SAN ANTONIO, TX 78259-3311"
Mars Hill Christian Fellowship Church,Christian / General,"3435 MARTIN LUTHER KING DR, SAN ANTONIO, TX 78220-2323"
Americans United For Separation Of Church And State,,"345 ARGYLE AVE, SAN ANTONIO, TX 78209-5608"
Christ Fellowship Church Of San Antonio,Christian / General,"5440 VANCE JACKSON RD, SAN ANTONIO, TX 78230-4130"
Churches Of Christ Restoration Inc,,"711 GILLESPIE ST, SAN ANTONIO, TX 78212-3702"
Saved By Grace Gospel Church,,"1326 PLEASANTON RD, SAN ANTONIO, TX 78214-1943"
Peace Community Church,,"PO BOX 681757, SAN ANTONIO, TX 78268-1757"
Memorial Christian Church A New Testament Church Of Christ,Church of Christ,"213 SEELING BLVD, SAN ANTONIO, TX 78228-5037"
Church Of Truth,,"3834 DEERFIELD DR, SAN ANTONIO, TX 78218-2414"
Maranatha Bible Church,,"415 LULA MAE, SAN ANTONIO, TX 78219-3319"
Alamo City Bible Church,,"2800 NE LOOP 410 STE 111, SAN ANTONIO, TX 78218-1525"
Harmony Hills Baptist Church,Baptist,"6018 SNORKEL SQ, CONVERSE, TX 78109-4415"
Bethany Baptist Church,Baptist,"PO BOX 33758, SAN ANTONIO, TX 78265-3758"
Faith Lutheran Church Of San Antonio,Lutheran,"14819 JONES MALTSBERGER RD, SAN ANTONIO, TX 78247-3715"
Moussa Temple No 106 Ancient Egyptian Arabic Order,,"PO BOX 202119, SAN ANTONIO, TX 78220-9119"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 3 Westphalia,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 5 Weimar,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 9 New Braunfels,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 10 Rhineland - Seymour,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 11 Frelsburg,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 15 Nada,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 16 Moulton-Flatonia,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 17 Castroville,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance-18 Muenster,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 22 Hallettsville,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 26 Olfen,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 28 Wall,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 36 Scotland,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 38 Honey Creek,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 40 Rowena,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 42 Nc Houston,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance -45 La Coste- Devine,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance-51 Victoria,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance-54 Hereford,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 55 Port Lavaca,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 57 Panna Maria,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 58 Nw Houston,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 69 Gonzales,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 73 St Hedwig,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 74 Kosciusko,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance-75 Harper,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 76 Floresville,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 80 Hondo,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance-81 Wichita Falla,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance-87 Greater Houston,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 88 Poth,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance-91 Yorktown,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 97 Edna - Ganado,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 101 Nw San Antonio,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance-104 George West,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 114 San Angelo,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 116 Stonewall,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 117 Nc San Antonio,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance-126 Baytown,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 131 Ballinger,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 150 Se Houston,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 155 Dallas,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 200 St Benedict,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
Catholic Life Insurance - 202 Pecan Valley,Catholic,"1635 NE LOOP 410, SAN ANTONIO, TX 78209-1625"
The Oasis At Faith Worship Center San Antonio Inc,,"11502 BIG MESA DR, SAN ANTONIO, TX 78245-2257"
Believers United Christian Ministries Inc,Christian / General,"2226 E COMMERCE ST, SAN ANTONIO, TX 78203-1902"
Acts Missions Chapter Of Brownsville Diocese,,"7711 MADONNA, SAN ANTONIO, TX 78216-6620"
Life Synagogue Temple Of Truth Inc,Jewish,"5810 WAYVIEW ST, SAN ANTONIO, TX 78220-1925"
H R Church Inc,,"1110 TEMPLE SQ, SAN ANTONIO, TX 78245-1430"
Life Point Church Of San Antonio Inc,,"8098 FM 1560 N, SAN ANTONIO, TX 78254-9531"
Mission Church Of San Antonio,,"7700 TORINO DR, SAN ANTONIO, TX 78229-2329"
Reaching East African Lives For Christ Ministries,Christian / General,"6422 BANDERA RD 134, SAN ANTONIO, TX 78238-1511"
Westover Hills Assembly Of God Foundation,,"9340 WESTOVER HILLS BLVD, SAN ANTONIO, TX 78251-2703"
Iglesia Jesucristo Es Mi Refugio De San Antonio,,"6108 S FLORES ST, SAN ANTONIO, TX 78214-2159"
Life Family Church Of San Antonio Inc,,"9226 PROCLAMATION DR, SAN ANTONIO, TX 78240-2841"
St John Paul Ii Catholic High School,Catholic,"6720 FM 482, NEW BRAUNFELS, TX 78132-4823"
Cross Community Fellowship Inc,Christian / General,"1415 E BLANCO RD STE 5, BOERNE, TX 78006-1886"
Gruene United Methodist Church,Methodist,"2629 E COMMON ST, NEW BRAUNFELS, TX 78130-3168"
St Anthony Catholic School Foundation,Catholic,"205 W HUISACHE AVE, SAN ANTONIO, TX 78212-2909"
Iglesia Familia Cristiana,,"9819 DARTMOOR PONY, SAN ANTONIO, TX 78254-4707"
North Central Christian Church,Christian / General,"22307 LAVACA CRK, SAN ANTONIO, TX 78258-4324"
Kbc Ministries Inc,Christian / General,"PO BOX 593076, SAN ANTONIO, TX 78259-0203"
Moment Of Truth Ministries,Christian / General,"1730 E COMMERCE ST, SAN ANTONIO, TX 78203-1102"
Iglesia Cristiana Herederos Del Reino Inc,,"4922 CASA ORO ST, SAN ANTONIO, TX 78233-6427"
New Braunfels Christian Ministries,Christian / General,"1239 W SAN ANTONIO ST, NEW BRAUNFELS, TX 78130-6301"
Lids Christian Center,Christian / General,"7923 MEADOW STAR, SAN ANTONIO, TX 78227-1655"
River Church Rgv Inc,,"453 N BUSINESS IH 35 APT 127, NEW BRAUNFELS, TX 78130-7883"
Gospel Life Church,,"1750 MCQUEENEY RD, NEW BRAUNFELS, TX 78130-4811"
Christian Family Church Windsor Park,Christian / General,"PO BOX 143, SAN ANTONIO, TX 78291-0143"
Revelation International Ministries,Christian / General,"PO BOX 200072, SAN ANTONIO, TX 78220-0072"
Apostolic Words Of Life Inc,Apostolic,"6603 FIVE PALMS DR, SAN ANTONIO, TX 78242-1001"
Justin Graves Ministries,Christian / General,"PO BOX 701312, SAN ANTONIO, TX 78270-1312"
Christ Our King Anglican Church,,"115 KINGS WAY, NEW BRAUNFELS, TX 78132-3940"
St Lukes Episcopal School Permanent Endowment Fund,Episcopal,"15 SAINT LUKES LN, SAN ANTONIO, TX 78209-4445"
Alexander Wright Ministry Inc,Christian / General,"24711 CORRAL GABLES, SAN ANTONIO, TX 78261-2467"
Walking In Pure Victory Ministry,Christian / General,"1021 N HAMILTON ST, SAN ANTONIO, TX 78207-1435"
Believers Home Fellowship,Christian / General,"15002 OLD CREEK ST, SAN ANTONIO, TX 78217-1165"
Temple Of God Full Gospel Church,,"PO BOX 23361, SAN ANTONIO, TX 78223-0361"
Church At Faith Walk Fellowship,Christian / General,"18011 REDRIVER SKY, SAN ANTONIO, TX 78259-3580"
His Life Ministries,Christian / General,"12000 HUEBNER RD, SAN ANTONIO, TX 78230-1213"
Verse By Verse Ministry Of San Antonio,Christian / General,"2110 PARHAVEN DR, SAN ANTONIO, TX 78232-1654"
Christian Family Church International Of San Diego,Christian / General,"10650 CULEBRA RD STE 104-PMB 109, SAN ANTONIO, TX 78251-4949"
Clarion Call Christian Center,Christian / General,"17655 HENDERSON PASS APT 1025, SAN ANTONIO, TX 78232-1558"
Hindu Temple Of San Antonio Foundation,,"CO MKRCPA 4831 WESLEYAN ST, SAN ANTONIO, TX 78249-0000"
Lords House Christian Church Inc,Christian / General,"1250 S TRINITY ST, SAN ANTONIO, TX 78207-6144"
Templo Magdiel Full Gospel Church Inc,,"8023 SOMERSET RD, SAN ANTONIO, TX 78211-3845"
Mighty Redeemer Ministries Inc,Christian / General,"13026 MAPLE PARK DR, SAN ANTONIO, TX 78249-4311"
Kathleen Whitten Ministries,Christian / General,"8610 N NEW BRAUNFELS AVE STE 605, SAN ANTONIO, TX 78217-6454"
Worship Tools Ministry,Christian / General,"7800 IH 10 WEST SUITE 505, SAN ANTONIO, TX 78230-4723"
Rechurch210,,"9718 ASTIN PL, SAN ANTONIO, TX 78251-3728"
Zack Cherian International Ministries Usa Inc,Christian / General,"25725 COMANCHE CRK, SAN ANTONIO, TX 78261-4411"
New Generations Fellowship Of New Braunfels Texas,Christian / General,"PO BOX 312589, NEW BRAUNFELS, TX 78131-3100"
Katartismos Ministries,Christian / General,"PO BOX 312048, NEW BRAUNFELS, TX 78131-2048"
Ministry Of The Third Cross Inc,Christian / General,"14207 SPOTTED CEDAR, SAN ANTONIO, TX 78249-1029"
Church Health Ministries,Christian / General,"PO BOX 312004, NEW BRAUNFELS, TX 78131-2004"
Word And Spirit Church,,"PO BOX 953, CIBOLO, TX 78108-0953"
Greater Heights Fellowship,Christian / General,"411 SPRUCEWOOD LN, SAN ANTONIO, TX 78216-6417"
Heights Community Church,,"324 HARMON DR, SAN ANTONIO, TX 78209-4830"
Treasures Of Hope Fellowship Inc,Christian / General,"500 NAVARRO ST 2ND FLOOR PMB 7064, SAN ANTONIO, TX 78205-1833"
Apostolic Latin American Missionary Projects Inc,Apostolic,"9302 TIMBER PATH, SAN ANTONIO, TX 78250-4911"
Cates African Ministries,Christian / General,"668 NORTHERN LIGHTS DR, NEW BRAUNFELS, TX 78130-2696"
Grace Avenue Church,,"14546 BROOK HOLLOW BLVD 266, SAN ANTONIO, TX 78232-3810"
Ofb Ministries Inc,Christian / General,"2430 FREEDOM DR, SAN ANTONIO, TX 78217-4423"
Park Community Church,,"PO BOX 781669, SAN ANTONIO, TX 78278-1669"
Higher Ground Christian Worship Center,Christian / General,"PO BOX 340733, SAN ANTONIO, TX 78234-0733"
Living Word Christian Fellowship Church,Christian / General,"7306 NORTHALLERTON, CONVERSE, TX 78109-3214"
Community Bible Church Northwest,,"8118 TEZEL RD, SAN ANTONIO, TX 78250-3032"
Empowering Uplifting & Motivating Ministries Inc,Christian / General,"20659 STONE OAK PKWY APT 503, SAN ANTONIO, TX 78258-7492"
Community Bible Church Schertz Cibolo,,"20711 WILD SPRINGS DR, SAN ANTONIO, TX 78258-7425"
Arm -N- Arm Ministries,Christian / General,"8235 AGORA PKWY STE 111-364, SELMA, TX 78154-1334"
Alamo Community Church - San Antonio,,"5354 TALLEY RD, SAN ANTONIO, TX 78253-4139"
Redeemed Christian Church Of God Restoration Chapel San Antonio,Church of God,"2515 NACOGDOCHES ROAD STE 5, SAN ANTONIO, TX 78217-6010"
Iglesia Cristiana Jehova Shammah,,"1013 TEXAS AVE, SAN ANTONIO, TX 78201-0000"
Aleluya Ministries Of Hope Inc,Christian / General,"142 PALOMA DR, OLMOS PARK, TX 78212-1771"
Church In Your City,,"PO BOX 610, BOERNE, TX 78006-0610"
Living Waters Romanian Pentecostal Church,Pentecostal,"17030 DARIEN WING, SAN ANTONIO, TX 78247-5856"
Covenant Life Christian Church Inc,Christian / General,"PO BOX 762322, SAN ANTONIO, TX 78245-7322"
Iron Sharpens Iron Church Inc,,"1514 W OLMOS DR, SAN ANTONIO, TX 78201-4152"
Go For The Harvest Church Of God,Church of God,"PO BOX 14020, SAN ANTONIO, TX 78214-0020"
New Creation Church,,"PO BOX 591064, SAN ANTONIO, TX 78259-0103"
Javier Galvan Ministries,Christian / General,"515 W CRESTLINE DR, SAN ANTONIO, TX 78228-1962"
On Your Way Fellowship Inc,Christian / General,"156 SPRINGTREE HOLW, CIBOLO, TX 78108-3227"
Three Streams Church,,"7295 E EVANS RD, SAN ANTONIO, TX 78266-2805"
Grace Community Church San Antonio,,"5415 BANDERA RD STE 501, SAN ANTONIO, TX 78238-1958"
Blessed Kingdom Ministries,Christian / General,"32 BADGERS HLS, SAN ANTONIO, TX 78238-1374"
Covenant Keepers Ministry Inc,Christian / General,"12114 TOWER FRST, SAN ANTONIO, TX 78253-6716"
Prevailing Truth Ministries,Christian / General,"1937 SQUIRE CIR, NEW BRAUNFELS, TX 78130-8357"
Legacy Church New Braunfels,,"2002 SPUR ST, NEW BRAUNFELS, TX 78130-6410"
Schertz Highpoint Church,,"1337 FIELDS WAY, SCHERTZ, TX 78154-1843"
Grove Avenue Church Of Christ,Church of Christ,"119 GROVE AVE, SAN ANTONIO, TX 78210-2817"
True Life Church- Iglesia Vida Verdadera,,"9611 NUECES CYN, SAN ANTONIO, TX 78251-3578"
Sos 3 Ministries Inc,Christian / General,"2606 CANON PERDIDO, SAN ANTONIO, TX 78261-2759"
Last Chance Ministries,Christian / General,"404 BRADY BLVD, SAN ANTONIO, TX 78207-8036"
Javier Galvan Ministries,Christian / General,"515 W CRESTLINE DR, SAN ANTONIO, TX 78228-1962"
Ron Teal Ministries Inc,Christian / General,"PO BOX 310252, NEW BRAUNFELS, TX 78131-0252"
The Church Upci Inc,,"758 ANDORA DR, NEW BRAUNFELS, TX 78130-3396"
Starlight Baptist Church,Baptist,"24165 IH 10 WEST SUITE 217223, SAN ANTONIO, TX 78257-1449"
Air Force Village I Catholic Chapel Association,Catholic,"4917 RAVENSWOOD DR APT 114, SAN ANTONIO, TX 78227-4338"
San Antonio Pentecostal Church,Pentecostal,"2330 PINN RD, SAN ANTONIO, TX 78227-3626"
Grace Ministries Church,Christian / General,"10915 VANCE JACKSON RD, SAN ANTONIO, TX 78230-2505"
The Romanian Orthodox Archdiocese In America And Canada,Orthodox,"1801 THORAIN BLVD, SAN ANTONIO, TX 78201-2935"
Wildaplat Christian Fellowship Inc,Christian / General,"PO BOX 780248, SAN ANTONIO, TX 78278-0248"
Casting Vision Ministries,Christian / General,"3515 CANYON PKWY APT 9208, SAN ANTONIO, TX 78259-2466"
Iglesia Cristiana Bajo La Sombra De L Arbol De La Vida Inc,,"419 GARDINA ST, SAN ANTONIO, TX 78201-2905"
Call To Holiness,,"13407 ELM FORREST, SAN ANTONIO, TX 78253-4930"
River City Community Church,,"16765 LOOKOUT RD 16765 LOOKOUT RD, SELMA, TX 78154-0000"
Gateway Fellowship Assembly Of God Church,Christian / General,"10907 W LOOP 1604 N, SAN ANTONIO, TX 78254-3300"
Spirit & Life Fellowship,Christian / General,"6210 STABLE POINT DR, SAN ANTONIO, TX 78249-4616"
Iglesia Santa Pentecostes Mexicana,,"1135 WINSTON AVE, NEW BRAUNFELS, TX 78130-5978"
Templo La Tierra Prometida,,"159 ALICIA AVE, SAN ANTONIO, TX 78228-5802"
Vision On Fire Ministries Inc,Christian / General,"2203 LEE HALL, SAN ANTONIO, TX 78201-3452"
Greater Faith Ministries,Christian / General,"11800 FIELD BND, SELMA, TX 78154-3559"
